Name;	Type;	Rarity; Attunement; Notes; Source; description
Adamantine Armor;	Armor;	Uncommon;	no; medium or heavy, but not hide; dmg 150;
Mariner's Armor;	Armor;	Uncommon;	no; ;dmg 181;
Mithral Armor;	Armor;	Uncommon;	no; medium or heavy, but not hide;	dmg 182;
Sentinel Shield;	Armor;	Uncommon;	no; shield;	dmg 199;
Shield, +1;	Armor;	Uncommon;	no; shield;	dmg 200;
Armor of Resistance;	Armor;	Rare;	yes;		dmg 152;
Armor of Vulnerability;	Armor;	Rare;	yes;	plate	dmg 152;
Armor, +1;	Armor;	Rare;	no; ; dmg 152;
Arrow-catching Shield;	Armor;	Rare;	yes;	shield;	dmg 152;
Elven Chain;	Armor;	Rare; no; chain shirt;	dmg 168;;
Glamoured Studded Leather;	Armor;	Rare; no;	studded leather; dmg 172;
Shield of Missile Attraction;	Armor;	Rare;	yes;	shield;	dmg 200;
Shield, +2;	Armor;	Rare;	no;	shield;	dmg 200;
Animated Shield;	Armor;	Very Rare;	yes;	shield;	dmg 151;
Armor, +2;	Armor;	Very Rare; no; ; dmg 152;
Demon Armor;	Armor;	Very Rare;	yes;	plate;	dmg 165;
Dragon Scale Mail;	Armor;	Very Rare;	yes;	scale mail;	dmg 165;
Dwarven Plate;	Armor;	Very Rare;	no;	plate;	dmg 167;
Shield, +3;	Armor;	Very Rare;	no;	shield;	dmg 200;
Spellguard Shield;	Armor;	Very Rare;	yes;	shield;	dmg 201;
Armor of Invulnerability;	Armor;	Legendary;	yes;	plate;	dmg 152;
Armor, +3;	Armor;	Legendary;	no;	;	dmg 152;
Efreeti Chain;	Armor;	Legendary; yes;	chain mail;	dmg 167;
Plate Armor of Etherealness;	Armor;	Legendary;	yes;	plate;	dmg 185;
Potion of Climbing;	Potion;	Common;	no;	;	dmg 187;
Potion of Healing;	Potion;	Common;	no;	;	dmg 187;
Oil of Slipperiness;	Potion;	Uncommon;	no;	;	dmg 184;
Philter of Love;	Potion;	Uncommon;	no;	; dmg 184;
Potion of Animal Friendship;	Potion;	Uncommon;	yes; ; dmg 187;
Potion of Fire Breath;	Potion;	Uncommon;	no;	;	dmg 187
Potion of Greater Healing;	Potion;	Uncommon;	no;	;	dmg 187
Potion of Growth;	Potion;	Uncommon;	no;	;	dmg 187
Potion of Hill Giant Strength;	Potion;	Uncommon; no;	;	dmg 187;
Potion of Poison;	Potion;	Uncommon;	no;	;dmg 188;
Potion of Resistance;	Potion;	Uncommon;	no;	;	dmg 188;
Potion of Water Breathing;	Potion;	Uncommon;	no;	;	dmg 188;
Elixir of Health;	Potion;	Rare;	no;		; dmg 168;
Oil of Etherealness;	Potion; Rare;	no;	;	dmg 183;
Potion of Clairvoyance;	Potion;	Rare;	no;	;	dmg 187;
Potion of Diminution;	Potion;	Rare;	no;	;	dmg 187;
Potion of Fire Giant Strength;	Potion;	Rare;	no; ; dmg 187;
Potion of Frost Giant Strength;	Potion;	Rare;	no;		; dmg 187;
Potion of Gaseous Form;	Potion;	Rare;	no;	;	dmg 187;
Potion of Heroism; Potion;	Rare;	no;	; dmg 188;
Potion of Invulnerability;	Potion;	Rare; no; ;	dmg 188;
Potion of Mind Reading;	Potion;	Rare;	no;	;	dmg 188;
Potion of Stone Giant Strength;	Potion;	Rare;	no;	;	dmg 187;
Potion of Superior Healing;	Potion;	Rare;	no;	;	dmg 187;
Oil of Sharpness;	Potion;	Very Rare;	no;	;	dmg 184;
Potion of Cloud Giant Strength;	Potion;	Very Rare;	no;	;	dmg 187;
Potion of Flying;	Potion;	Very Rare;	no;	;	dmg 187;
Potion of Invisibility;	Potion;	Very Rare;	no;	;	dmg 188;
Potion of Longevity;	Potion;	Very Rare;	no;	; dmg 188;
Potion of Speed;	Potion;	Very Rare;	no;	;	dmg 188;
Potion of Supreme Healing;	Potion;	Very Rare;	no;	;	dmg 187;
Potion of Vitality;	Potion;	Very Rare;	no;	;	dmg 188;
